Fragility_no,Infrastructure_class,Infrastructure_subclass,Metadata_description,Metadata_region,Metadata_author,Hazard_type,IM,IM_unit,Fragility_development_method,Fragility_distribution,No_of_damage_state,Damage_state_1,Damage_state_med_1,Damage_state_std_1,Damage_state_2,Damage_state_med_2,Damage_state_std_2,Damage_state_3,Damage_state_med_3,Damage_state_std_3,Damage_state_4,Damage_state_med_4,Damage_state_std_4,Fragility_description,Fragility_polynomial,Damage_state_5,Damage_state_med_5,Damage_state_std_5,,Ranking_score_IM,Ranking_score_NDS,Ranking_score_Region,Ranking_score_Normalized,Infrastructure_image,Metadata_file_name,Dispersion_type
457,transportation system,RC bridge,RC bridge multi-span continuous concrete girder bridge,Central and South Eastern United States,"Choi E., Des Roches R.  Nielson B, Seismic fragility of typical bridges in moderate seismic zones, Engineering Structures 26, 187-199, 2004",earthquake,PGA,g,Analytical - Nonlinear Dynamic,Lognormal,4,Minor,0.273,0.149,Moderate,1.477,0.769,Major,2.365,1.465,Collapse,4.13,2.665,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,ChoiEtAl2004-MSCConcrete.xml,Standard_deviation
458,transportation system,mixed bridges,Mixed bridge multi-span continuous steel girder bridge,Central and South Eastern United States,"Choi E., Des Roches R.  Nielson B, Seismic fragility of typical bridges in moderate seismic zones, Engineering Structures 26, 187-199, 2004",earthquake,PGA,g,Analytical - Nonlinear Dynamic,Lognormal,4,Minor,0.204,0.043,Moderate,0.351,0.089,Major,0.509,0.178,Collapse,0.742,0.292,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,ChoiEtAl2004-MSCSteel.xml,Standard_deviation
459,transportation system,RC bridge,RC bridge multi-span simply supported concrete girder bridge,Central and South Eastern United States,"Choi E., Des Roches R.  Nielson B, Seismic fragility of typical bridges in moderate seismic zones, Engineering Structures 26, 187-199, 2004",earthquake,PGA,g,Analytical - Nonlinear Dynamic,Lognormal,4,Minor,0.21,0.067,Moderate,0.595,0.215,Major,0.841,0.369,Collapse,1.256,0.58,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,ChoiEtAl2004-MSSSConcrete.xml,Standard_deviation
460,transportation system,mixed bridges,Mixed bridge multi-span simply supported steel girder bridge,Central and South Eastern United States,"Choi E., Des Roches R.  Nielson B, Seismic fragility of typical bridges in moderate seismic zones, Engineering Structures 26, 187-199, 2004",earthquake,PGA,g,Analytical - Nonlinear Dynamic,Lognormal,4,Minor,0.204,0.039,Moderate,0.337,0.072,Major,0.483,0.112,Collapse,0.629,0.16,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,ChoiEtAl2004-MSSSSteel.xml,Standard_deviation
461,transportation system,RC bridge,,USA and Greece,"Elnashai A.S., Borzi B., Vlachos S., Deformation-based vulnerability functions for RC bridge, Structural Engineering, 17(2), 215-244, 2004.",earthquake,PGA,g,Analytical Nonlinear Dynamic,Normal,4,LS1,0.355,0.154,LS2,0.429,0.165,LS3,0.563,0.178,LS4,0.666,0.18,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,ElnashaiEtAl2004_Ana.xml,
462,transportation system,RC bridge,,USA and Greece,"Elnashai A.S., Borzi B., Vlachos S., Deformation-based vulnerability functions for RC bridge, Structural Engineering, 17(2), 215-244, 2004.",earthquake,PGA,g,Empirical Nonlinear Dynamic,Normal,5,None,0.315,0.194,Minor,0.516,0.249,Moderate,0.554,0.239,Major,0.617,0.255,,,Collapse,0.732,0.239,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,ElnashaiEtAl2004_Emp.xml,
463,transportation system,RC bridge,Simply supported bridge with 1-6 spans,Italy,"Franchin P., Lupoi A., Pinto P., On the role of road networks in reducing human losses after earthquakes, Journal of Earthquake Engineering, 10(2), 195-206, 2008",earthquake,Sa(0.3s),g,Analytical Nonlinear Dynamic,Lognormal,3,Slight,0.298,0.178,Moderate,0.431,0.271,Complete,0.631,0.365,,,,,,,,,,0.5,0.75,0.25,0.5,./assets/CLiP_TBA.PNG,FranchinEtAl2008_Ty0.3.xml,Standard_deviation
464,transportation system,RC bridge,Simply supported bridge with 1-6 spans,Italy,"Franchin P., Lupoi A., Pinto P., On the role of road networks in reducing human losses after earthquakes, Journal of Earthquake Engineering, 10(2), 195-206, 2008",earthquake,Sa(0.4s),g,Analytical Nonlinear Dynamic,Lognormal,3,Slight,0.298,0.153,Moderate,0.403,0.174,Complete,0.639,0.3,,,,,,,,,,0.5,0.75,0.25,0.5,./assets/CLiP_TBA.PNG,FranchinEtAl2008_Ty0.4.xml,Standard_deviation
465,transportation system,RC bridge,Simply supported bridge with 1-6 spans,Italy,"Franchin P., Lupoi A., Pinto P., On the role of road networks in reducing human losses after earthquakes, Journal of Earthquake Engineering, 10(2), 195-206, 2008",earthquake,Sa(0.5s),g,Analytical Nonlinear Dynamic,Lognormal,3,Slight,0.302,0.107,Moderate,0.423,0.15,Complete,0.633,0.223,,,,,,,,,,0.5,0.75,0.25,0.5,./assets/CLiP_TBA.PNG,FranchinEtAl2008_Ty0.5.xml,Standard_deviation
466,transportation system,RC bridge,Multi-span simply supported RC girder bridge; three span; multi-column bent,USA,"Jeong SH, Elnashai AS (2007) Probabilistic fragility analysis parameterized by fundamental response quantities. Eng Struct 29(6):1238-1251",earthquake,PGA,g,,Lognormal,2,Yielding,0.254,0.084,Collapse,0.829,0.448,,,,,,,,,,,,,0.5,0.5,0.25,0.416666667,./assets/CLiP_TBA.PNG,Jeong&Elnashai2007_CU.xml,Standard_deviation
467,transportation system,RC bridge,Multi-span simply supported RC box girder bridge; four span; single column bent,USA,"Jeong SH, Elnashai AS (2007) Probabilistic fragility analysis parameterized by fundamental response quantities. Eng Struct 29(6):1238-1251",earthquake,PGA,g,,Lognormal,2,Yielding,0.346,0.129,Collapse,1.021,0.406,,,,,,,,,,,,,0.5,0.5,0.25,0.416666667,./assets/CLiP_TBA.PNG,Jeong&Elnashai2007_HS.xml,Standard_deviation
468,transportation system,RC bridge,Multi-span simply supported RC box girder bridge; four span; single column bent,Japan,"Jeong SH, Elnashai AS (2007) Probabilistic fragility analysis parameterized by fundamental response quantities. Eng Struct 29(6):1238-1251",earthquake,PGA,g,,Lognormal,2,Yielding,0.396,0.145,Collapse,1.235,0.52,,,,,,,,,,,,,0.5,0.5,0.25,0.416666667,./assets/CLiP_TBA.PNG,Jeong&Elnashai2007_SM.xml,Standard_deviation
469,transportation system,RC bridge,KarakostasEtAl2006,Greece,"Karakostas C., Makarios T.,  Lekidis V.  Kappos A., Evaluation of vulnerability curves for bridges - a case study, First European Conference on Earthquake Engineering and Seismology, Geneve,  2006",earthquake,PGA,g,Analytical - Nonlinear Static,Lognormal,4,Minor,0.261,0.178,Moderate,0.55,0.356,Extensive,1.057,0.657,Collapse,1.275,0.825,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,KarakostasEtAl2006-EAK2003 Spectrum-x direction.xml,Standard_deviation
470,transportation system,RC bridge,KarakostasEtAl2006,Greece,"Karakostas C., Makarios T.,  Lekidis V.  Kappos A., Evaluation of vulnerability curves for bridges - a case study, First European Conference on Earthquake Engineering and Seismology, Geneve,  2006",earthquake,PGA,g,Analytical - Nonlinear Static,Lognormal,4,Minor,1.171,0.112,Moderate,0.364,0.243,Extensive,0.742,0.523,Collapse,1.408,0.948,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,KarakostasEtAl2006-EAK2003 Spectrum-y direction.xml,Standard_deviation
471,transportation system,RC bridge,KarakostasEtAl2006,Greece,"Karakostas C., Makarios T.,  Lekidis V.  Kappos A., Evaluation of vulnerability curves for bridges - a case study, First European Conference on Earthquake Engineering and Seismology, Geneve,  2006",earthquake,PGA,g,Analytical - Nonlinear Static,Lognormal,4,Minor,1.893,1.223,Moderate,4.025,2.63,Extensive,8.565,5.98,Collapse,10.07,6.98,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,KarakostasEtAl2006-Repr.Sample-x direction.xml,Standard_deviation
472,transportation system,RC bridge,KarakostasEtAl2006,Greece,"Karakostas C., Makarios T.,  Lekidis V.  Kappos A., Evaluation of vulnerability curves for bridges - a case study, First European Conference on Earthquake Engineering and Seismology, Geneve,  2006",earthquake,PGA,g,Analytical - Nonlinear Static,Lognormal,4,Minor,0.738,0.517,Moderate,1.596,1.127,Extensive,3.09,2.021,Collapse,6.05,4.05,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,KarakostasEtAl2006-Repr.Sample-y direction.xml,Standard_deviation
473,transportation system,RC bridge pier,Karim,Japan and USA,"Karim K.R.  Yamazaki F., Effect of earthquake ground motions on fragility curves of highway bridge piers based on numerical simulation, Earthquake Engineering and Structural Dynamics 30(12), 1839-1856, 2001",earthquake,PGA,cm/s2,Empirical and Analytical - Nonlinear Dynamic,Lognormal,2,Slight,5.722,1.756,Moderate,6.437,1.3,,,,,,,,,,,,,0.75,0.5,0.25,0.5,./assets/CLiP_TBA.PNG,Karim&Yamazaki2001-Chibaken (1964 pier) PGA.xml,Standard_deviation
474,transportation system,RC bridge pier,Karim,Japan and USA,"Karim K.R.  Yamazaki F., Effect of earthquake ground motions on fragility curves of highway bridge piers based on numerical simulation, Earthquake Engineering and Structural Dynamics 30(12), 1839-1856, 2001",earthquake,PGV,cm/s,Empirical and Analytical - Nonlinear Dynamic,Lognormal,3,Slight,3.889,1.62,Moderate,4.519,1.387,Extensive,4.56,0.921,,,,,,,,,,0.5,0.75,0.25,0.5,./assets/CLiP_TBA.PNG,Karim&Yamazaki2001-Chibaken (1964 pier) PGV.xml,Standard_deviation
475,transportation system,RC bridge pier,Karim,Japan and USA,"Karim K.R.  Yamazaki F., Effect of earthquake ground motions on fragility curves of highway bridge piers based on numerical simulation, Earthquake Engineering and Structural Dynamics 30(12), 1839-1856, 2001",earthquake,PGA,cm/s2,Empirical and Analytical - Nonlinear Dynamic,Lognormal,4,Slight,5.816,1.785,Moderate,6.658,1.831,Extensive,6.754,1.364,Complete,6.861,0.757,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,Karim&Yamazaki2001-Kobe (1964 pier) PGA.xml,Standard_deviation
476,transportation system,RC bridge pier,Karim,Japan and USA,"Karim K.R.  Yamazaki F., Effect of earthquake ground motions on fragility curves of highway bridge piers based on numerical simulation, Earthquake Engineering and Structural Dynamics 30(12), 1839-1856, 2001",earthquake,PGV,cm/s,Empirical and Analytical - Nonlinear Dynamic,Lognormal,4,Slight,4.189,2.386,Moderate,5.266,2.934,Extensive,5.512,3.004,Complete,6.076,3.46,,,,,,,0.5,1,0.25,0.583333333,./assets/CLiP_TBA.PNG,Karim&Yamazaki2001-Kobe (1964 pier) PGV.xml,Standard_deviation
477,transportation system,RC bridge pier,Karim,Japan and USA,"Karim K.R.  Yamazaki F., Effect of earthquake ground motions on fragility curves of highway bridge piers based on numerical simulation, Earthquake Engineering and Structural Dynamics 30(12), 1839-1856, 2001",earthquake,PGA,cm/s2,Empirical and Analytical - Nonlinear Dynamic,Lognormal,4,Slight,6.385,1.824,Moderate,7.009,1.416,Extensive,7.153,1.225,Complete,7.323,1.179,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,Karim&Yamazaki2001-Kobe (1998 pier) PGA.xml,Standard_deviation
478,transportation system,RC bridge pier,Karim,Japan and USA,"Karim K.R.  Yamazaki F., Effect of earthquake ground motions on fragility curves of highway bridge piers based on numerical simulation, Earthquake Engineering and Structural Dynamics 30(12), 1839-1856, 2001",earthquake,PGV,cm/s,Empirical and Analytical - Nonlinear Dynamic,Lognormal,4,Slight,4.871,2.834,Moderate,5.42,2.505,Extensive,5.569,2.383,Complete,5.665,2.107,,,,,,,0.5,1,0.25,0.583333333,./assets/CLiP_TBA.PNG,Karim&Yamazaki2001-Kobe (1998 pier) PGV.xml,Standard_deviation
479,transportation system,RC bridge pier,Karim,Japan and USA,"Karim K.R.  Yamazaki F., Effect of earthquake ground motions on fragility curves of highway bridge piers based on numerical simulation, Earthquake Engineering and Structural Dynamics 30(12), 1839-1856, 2001",earthquake,PGA,cm/s2,Empirical and Analytical - Nonlinear Dynamic,Lognormal,4,Slight,6.633,1.965,Moderate,6.757,2.074,Extensive,6.956,2.061,Complete,7.231,2.374,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,Karim&Yamazaki2001-Kobe (Emprical) PGA.xml,Standard_deviation
480,transportation system,RC bridge pier,Karim,Japan and USA,"Karim K.R.  Yamazaki F., Effect of earthquake ground motions on fragility curves of highway bridge piers based on numerical simulation, Earthquake Engineering and Structural Dynamics 30(12), 1839-1856, 2001",earthquake,PGV,cm/s,Empirical and Analytical - Nonlinear Dynamic,Lognormal,4,Slight,4.359,1.574,Moderate,4.556,1.695,Extensive,4.929,2.053,Complete,5.221,2.175,,,,,,,0.5,1,0.25,0.583333333,./assets/CLiP_TBA.PNG,Karim&Yamazaki2001-Kobe (Emprical) PGV.xml,Standard_deviation
481,transportation system,RC bridge pier,Karim,Japan and USA,"Karim K.R.  Yamazaki F., Effect of earthquake ground motions on fragility curves of highway bridge piers based on numerical simulation, Earthquake Engineering and Structural Dynamics 30(12), 1839-1856, 2001",earthquake,PGA,cm/s2,Empirical and Analytical - Nonlinear Dynamic,Lognormal,4,Slight,5.958,3.033,Moderate,7.135,4.063,Extensive,7.365,3.925,Complete,7.57,3.675,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,Karim&Yamazaki2001-Kushiro (1964 pier) PGA.xml,Standard_deviation
482,transportation system,RC bridge pier,Karim,Japan and USA,"Karim K.R.  Yamazaki F., Effect of earthquake ground motions on fragility curves of highway bridge piers based on numerical simulation, Earthquake Engineering and Structural Dynamics 30(12), 1839-1856, 2001",earthquake,PGV,cm/s,Empirical and Analytical - Nonlinear Dynamic,Lognormal,4,Slight,3.268,2.281,Moderate,5.137,5.115,Extensive,5.84,6.213,Complete,7.607,9.815,,,,,,,0.5,1,0.25,0.583333333,./assets/CLiP_TBA.PNG,Karim&Yamazaki2001-Kushiro (1964 pier) PGV.xml,Standard_deviation
483,transportation system,RC bridge pier,Karim,Japan and USA,"Karim K.R.  Yamazaki F., Effect of earthquake ground motions on fragility curves of highway bridge piers based on numerical simulation, Earthquake Engineering and Structural Dynamics 30(12), 1839-1856, 2001",earthquake,PGA,cm/s2,Empirical and Analytical - Nonlinear Dynamic,Lognormal,4,Slight,5.965,2.285,Moderate,6.687,1.91,Extensive,6.818,1.589,Complete,6.927,1.045,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,Karim&Yamazaki2001-Northridge (1964 pier) PGA.xml,Standard_deviation
484,transportation system,RC bridge pier,Karim,Japan and USA,"Karim K.R.  Yamazaki F., Effect of earthquake ground motions on fragility curves of highway bridge piers based on numerical simulation, Earthquake Engineering and Structural Dynamics 30(12), 1839-1856, 2001",earthquake,PGV,cm/s,Empirical and Analytical - Nonlinear Dynamic,Lognormal,4,Slight,3.975,2.669,Moderate,5.78,5.66,Extensive,6.745,7.059,Complete,7.115,6.401,,,,,,,0.5,1,0.25,0.583333333,./assets/CLiP_TBA.PNG,Karim&Yamazaki2001-Northridge (1964 pier) PGV.xml,Standard_deviation
485,transportation system,RC bridge,Karim,Japan,"Karim K.R.  Yamazaki F., A simplified method for constructing fragility curves for highway bridges, Earthquake and Structural Dynamics, 32(10), 1603-1626, 2003",earthquake,PGA,cm/s2,Analytical - Nonlinear Dynamic,Lognormal,4,Slight,817.531,478.603,Moderate,967.65,391.096,Extensive,1125,483.5,Complete,1225,420,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,Karim&Yamazaki2003-Isolated bridge systems-Analytical Procedure.xml,Standard_deviation
486,transportation system,RC bridge,Karim,Japan,"Karim K.R.  Yamazaki F., A simplified method for constructing fragility curves for highway bridges, Earthquake and Structural Dynamics, 32(10), 1603-1626, 2003",earthquake,PGA,cm/s2,Analytical - Nonlinear Dynamic,Lognormal,4,Slight,322.08,119.809,Moderate,665.974,169.129,Extensive,790.013,167.749,Complete,949.751,172.349,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,Karim&Yamazaki2003-Non-Isolated bridge systems-Analytical Procedure.xml,Standard_deviation
487,transportation system,RC bridge,Karim,Japan,"Karim K.R.  Yamazaki F., A simplified method for constructing fragility curves for highway bridges, Earthquake and Structural Dynamics, 32(10), 1603-1626, 2003",earthquake,PGA,cm/s2,Analytical - Nonlinear Dynamic,Lognormal,4,Slight,322.08,119.809,Moderate,665.974,169.129,Extensive,790.013,167.749,Complete,949.751,172.349,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,Karim&Yamazaki2003-PGA-Analytical.xml,Standard_deviation
488,transportation system,RC bridge,Karim,Japan,"Karim K.R.  Yamazaki F., A simplified method for constructing fragility curves for highway bridges, Earthquake and Structural Dynamics, 32(10), 1603-1626, 2003",earthquake,PGV,cm/s,Analytical - Nonlinear Dynamic,Lognormal,4,Slight,45.431,44.489,Moderate,114.87,98.084,Extensive,159.373,138.486,Complete,197.641,177.792,,,,,,,0.5,1,0.25,0.583333333,./assets/CLiP_TBA.PNG,Karim&Yamazaki2003-PGA-Simplified.xml,Standard_deviation
489,transportation system,RC bridge,Karim,Japan,"Karim K.R.  Yamazaki F., A simplified method for constructing fragility curves for highway bridges, Earthquake and Structural Dynamics, 32(10), 1603-1626, 2003",earthquake,PGA,cm/s2,Analytical - Nonlinear Dynamic,Lognormal,4,Slight,322.08,119.809,Moderate,665.974,169.129,Extensive,790.013,167.749,Complete,949.751,172.349,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,Karim&Yamazaki2003-PGV-Analytical.xml,Standard_deviation
490,transportation system,RC bridge,Karim,Japan,"Karim K.R.  Yamazaki F., A simplified method for constructing fragility curves for highway bridges, Earthquake and Structural Dynamics, 32(10), 1603-1626, 2003",earthquake,PGV,cm/s,Analytical - Nonlinear Dynamic,Lognormal,4,Slight,44.164,42.961,Moderate,116.892,101.572,Extensive,157.032,141.261,Complete,215.767,197.458,,,,,,,0.5,1,0.25,0.583333333,./assets/CLiP_TBA.PNG,Karim&Yamazaki2003-PGV-Simplified.xml,Standard_deviation
491,transportation system,RC bridge,Karim,Japan,"Karim K.R.  Yamazaki F., A simplified method for constructing fragility curves for highway bridges, Earthquake and Structural Dynamics, 32(10), 1603-1626, 2003",earthquake,SI,cm/s,Analytical - Nonlinear Dynamic,Lognormal,4,Slight,40.944,28.032,Moderate,91.84,47.843,Extensive,117.425,57.003,Complete,167.034,73.365,,,,,,,0.5,1,0.25,0.583333333,./assets/CLiP_TBA.PNG,Karim&Yamazaki2003-SI-Analytical.xml,Standard_deviation
492,transportation system,RC bridge,Karim,Japan,"Karim K.R.  Yamazaki F., A simplified method for constructing fragility curves for highway bridges, Earthquake and Structural Dynamics, 32(10), 1603-1626, 2003",earthquake,SI,cm/s,Analytical - Nonlinear Dynamic,Lognormal,4,Slight,41.19,26.048,Moderate,94.179,52.478,Extensive,106.746,53.073,Complete,168.309,81.704,,,,,,,0.5,1,0.25,0.583333333,./assets/CLiP_TBA.PNG,Karim&Yamazaki2003-SI-Simplified.xml,Standard_deviation
493,transportation system,RC bridge pier,KibbouaEtAl2011,Algeria,"Kibboua A., Naili M., Benouar D., Kehila F., Analytical fragility curves for typical Algerian RC bridge pier, Structural Engineering and Mechanics, 39(3), 411-425, 2011",earthquake,PGA,g,Analytical - Nonlinear Dynamic,Lognormal,4,Slight,0.35,0.334,Moderate,0.636,0.599,Extensive,0.778,0.728,Collapse,1.031,0.92,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,KibbouaEtAl2011-Bridge 1.xml,Standard_deviation
494,transportation system,RC bridge pier,KibbouaEtAl2011,Algeria,"Kibboua A., Naili M., Benouar D., Kehila F., Analytical fragility curves for typical Algerian RC bridge pier, Structural Engineering and Mechanics, 39(3), 411-425, 2011",earthquake,PGA,g,Analytical - Nonlinear Dynamic,Lognormal,4,Slight,0.426,0.305,Moderate,0.776,0.536,Extensive,0.966,0.628,Collapse,1.017,0.498,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,KibbouaEtAl2011-Bridge 2.xml,Standard_deviation
495,transportation system,RC bridge pier,KibbouaEtAl2011,Algeria,"Kibboua A., Naili M., Benouar D., Kehila F., Analytical fragility curves for typical Algerian RC bridge pier, Structural Engineering and Mechanics, 39(3), 411-425, 2011",earthquake,PGA,g,Analytical - Nonlinear Dynamic,Lognormal,4,Slight,0.51,0.356,Moderate,0.989,0.717,Extensive,1.352,1.063,Collapse,1.309,0.544,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,KibbouaEtAl2011-Bridge 3.xml,Standard_deviation
496,transportation system,RC bridge pier,KibbouaEtAl2011,Algeria,"Kibboua A., Naili M., Benouar D., Kehila F., Analytical fragility curves for typical Algerian RC bridge pier, Structural Engineering and Mechanics, 39(3), 411-425, 2011",earthquake,PGA,g,Analytical - Nonlinear Dynamic,Lognormal,4,Slight,0.351,0.328,Moderate,0.647,0.626,Extensive,0.813,0.835,Collapse,1.06,1.066,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,KibbouaEtAl2011-Bridge 4.xml,Standard_deviation
497,transportation system,RC bridge,KapposEtAl2006,Greece,"Kappos A., Moschonas I., Paraskeva T. and Sextos A., A methodology for derivation of seismic fragility curves for bridges with the aid of advanced analysis tools, First European Conference on Earthquake Engineering and Seismology, 2006.",earthquake,PGA,g,Analytical - Nonlinear Dynamic,Lognormal,4,Minor,0.1,0.061,Moderate,0.218,0.157,Major,0.42,0.273,Collapse,1.851,1.229,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,Krystallopigi Bridge Longitudinal.xml,Standard_deviation
498,transportation system,RC bridge,KapposEtAl2006,Greece,"Kappos A., Moschonas I., Paraskeva T. and Sextos A., A methodology for derivation of seismic fragility curves for bridges with the aid of advanced analysis tools, First European Conference on Earthquake Engineering and Seismology, 2006.",earthquake,PGA,g,Analytical - Nonlinear Dynamic,Lognormal,4,Minor,0.195,0.128,Moderate,0.409,0.265,Major,0.817,0.55,Collapse,1.488,0.989,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,Krystallopigi Bridge Transverse.xml,Standard_deviation
499,transportation system,RC bridge,KapposEtAl2006,Greece,"Kappos A., Moschonas I., Paraskeva T. and Sextos A., A methodology for derivation of seismic fragility curves for bridges with the aid of advanced analysis tools, First European Conference on Earthquake Engineering and Seismology, 2006.",earthquake,PGA,g,Analytical - Nonlinear Dynamic,Lognormal,4,Minor,0.049,0.032,Moderate,0.336,0.199,Major,0.464,0.31,Collapse,1.124,0.756,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,Lissos Bridge Longitudinal.xml,Standard_deviation
500,transportation system,RC bridge,KapposEtAl2006,Greece,"Kappos A., Moschonas I., Paraskeva T. and Sextos A., A methodology for derivation of seismic fragility curves for bridges with the aid of advanced analysis tools, First European Conference on Earthquake Engineering and Seismology, 2006.",earthquake,PGA,g,Analytical - Nonlinear Dynamic,Lognormal,4,Minor,0.066,0.039,Moderate,0.704,0.473,Major,0.712,0.482,Collapse,1.751,1.145,,,,,,,0.75,1,0.25,0.666666667,./assets/CLiP_TBA.PNG,Lissos Bridge Transverse.xml,Standard_deviation
501,transportation system,RC bridge,LupoiEtAl2005,Europe,"Lupoi A., Franchin P., Pinto P.E., Monti G., Seismic design of bridges accounting for spatial variability of ground motion, Earthquake Engineering and Structural Dynamics, 34, 327-348, 2005",earthquake,PGA,m/s2,Analytical - Nonlinear Dynamic,Discrete,1,Failure,0.5 0.75 1 2 3 3.5 4 5 6 7,0 0 0 0 0.007 0.035 0.095 0.296 0.553 0.785,,,,,,,,,,,,,,,,0.75,0.25,0.25,0.416666667,./assets/CLiP_TBA.PNG,"LupoiEtAl2005, A1.xml",
502,transportation system,RC bridge,LupoiEtAl2005,Europe,"Lupoi A., Franchin P., Pinto P.E., Monti G., Seismic design of bridges accounting for spatial variability of ground motion, Earthquake Engineering and Structural Dynamics, 34, 327-348, 2005",earthquake,PGA,m/s2,Analytical - Nonlinear Dynamic,Discrete,1,Failure,0.5 0.75 1 2 3 3.5 4 5 6 7,0 0 0 0.007 0.095 0.21 0.341 0.62 0.827 0.93,,,,,,,,,,,,,,,,0.75,0.25,0.25,0.416666667,./assets/CLiP_TBA.PNG,"LupoiEtAl2005, A2.xml",
503,transportation system,RC bridge,LupoiEtAl2005,Europe,"Lupoi A., Franchin P., Pinto P.E., Monti G., Seismic design of bridges accounting for spatial variability of ground motion, Earthquake Engineering and Structural Dynamics, 34, 327-348, 2005",earthquake,PGA,m/s2,Analytical - Nonlinear Dynamic,Discrete,1,Failure,0.5 0.75 1 2 3 3.5 4 5 6 7,0 0 0 0 0.032 0.093 0.217 0.512 0.747 0.891,,,,,,,,,,,,,,,,0.75,0.25,0.25,0.416666667,./assets/CLiP_TBA.PNG,"LupoiEtAl2005, A3.xml",
504,transportation system,RC bridge,LupoiEtAl2005,Europe,"Lupoi A., Franchin P., Pinto P.E., Monti G., Seismic design of bridges accounting for spatial variability of ground motion, Earthquake Engineering and Structural Dynamics, 34, 327-348, 2005",earthquake,PGA,m/s2,Analytical - Nonlinear Dynamic,Discrete,1,Failure,0.5 0.75 1 2 3 3.5 4 5 6 7,0 0 0 0 0.014 0.049 0.119 0.386 0.649 0.835,,,,,,,,,,,,,,,,0.75,0.25,0.25,0.416666667,./assets/CLiP_TBA.PNG,"LupoiEtAl2005, A4.xml",
505,transportation system,RC bridge,LupoiEtAl2005,Europe,"Lupoi A., Franchin P., Pinto P.E., Monti G., Seismic design of bridges accounting for spatial variability of ground motion, Earthquake Engineering and Structural Dynamics, 34, 327-348, 2005",earthquake,PGA,m/s2,Analytical - Nonlinear Dynamic,Discrete,1,Failure,0.5 0.75 1 2 3 3.5 4 5 6 7,0 0 0 0 0.081 0.165 0.282 0.556 0.764 0.908,,,,,,,,,,,,,,,,0.75,0.25,0.25,0.416666667,./assets/CLiP_TBA.PNG,"LupoiEtAl2005, FFFFF, 300-300.xml",
506,transportation system,RC bridge,LupoiEtAl2005,Europe,"Lupoi A., Franchin P., Pinto P.E., Monti G., Seismic design of bridges accounting for spatial variability of ground motion, Earthquake Engineering and Structural Dynamics, 34, 327-348, 2005",earthquake,PGA,m/s2,Analytical - Nonlinear Dynamic,Discrete,1,Failure,0.5 0.75 1 2 3 3.5 4 5 6 7,0 0 0 0 0.059 0.134 0.257 0.528 0.768 0.887,,,,,,,,,,,,,,,,0.75,0.25,0.25,0.416666667,./assets/CLiP_TBA.PNG,"LupoiEtAl2005, FFFFF, 300-900.xml",
507,transportation system,RC bridge,LupoiEtAl2005,Europe,"Lupoi A., Franchin P., Pinto P.E., Monti G., Seismic design of bridges accounting for spatial variability of ground motion, Earthquake Engineering and Structural Dynamics, 34, 327-348, 2005",earthquake,PGA,m/s2,Analytical - Nonlinear Dynamic,Discrete,1,Failure,0.5 0.75 1 2 3 3.5 4 5 6 7,0 0 0 0.018 0.117 0.197 0.307 0.541 0.77 0.905,,,,,,,,,,,,,,,,0.75,0.25,0.25,0.416666667,./assets/CLiP_TBA.PNG,"LupoiEtAl2005, FFFFF, 300-inf.xml",
